"Date","Time","Open","High","Low","Close","Vol","OI","FastEMA","SlowEMA","MACD","MACDAvg","MACDDiff","ZeroLine","Momentum","ZeroLine","FastAvg","MedAvg","SlowAvg","Vol","VolAvg","OBV","AccDst-PrVol","ADX","TrigLevel","RSI","OverBot","OverSld","UpperBand","LowerBand","MidLine","ATR","PLOT1"
01/14/2022,07:00,4921.00,4938.25,4919.00,4936.75,32517,31032,4916.26,4921.11,-4.85,-8.18,3.33,0.00,32.25,0.00,4933.87,4935.85,4963.90,63549.00,30140.57,1657069.00,229282.05,39.54,20.00,62.39,70.00,30.00,4943.35,4889.42,4916.39,11.39,4921.00
01/14/2022,07:10,4936.75,4939.25,4921.50,4932.00,31080,31565,4918.68,4921.91,-3.23,-7.19,3.95,0.00,25.50,0.00,4933.54,4935.83,4963.59,62645.00,33811.71,1594424.00,212517.90,37.94,20.00,57.92,70.00,30.00,4941.45,4890.40,4915.92,12.13,4936.75
01/14/2022,07:20,4931.75,4941.50,4925.25,4940.50,24649,23738,4922.04,4923.29,-1.25,-6.00,4.75,0.00,32.75,0.00,4933.41,4935.88,4963.31,48387.00,36061.50,1642811.00,238572.44,36.68,20.00,63.03,70.00,30.00,4942.13,4890.02,4916.08,12.05,4932.00
01/14/2022,07:30,4940.25,4940.75,4919.50,4923.50,21510,23791,4922.26,4923.31,-1.04,-5.01,3.97,0.00,14.00,0.00,4932.92,4935.75,4962.96,45301.00,37921.57,1597510.00,202864.59,34.68,20.00,49.97,70.00,30.00,4941.53,4890.14,4915.84,12.79,4940.50
01/14/2022,07:40,4923.75,4926.00,4914.25,4919.50,23840,24894,4921.84,4923.02,-1.19,-4.24,3.06,0.00,16.75,0.00,4932.29,4935.57,4962.60,48734.00,40575.07,1548776.00,185237.40,32.25,20.00,47.48,70.00,30.00,4940.20,4890.40,4915.30,12.95,4923.50
01/14/2022,07:50,4919.75,4923.00,4912.75,4920.50,21014,21728,4921.63,4922.84,-1.21,-3.64,2.43,0.00,22.75,0.00,4931.73,4935.36,4962.25,42742.00,42926.21,1591518.00,188364.86,30.18,20.00,48.17,70.00,30.00,4939.53,4890.49,4915.01,13.36,4919.50
01/14/2022,08:00,4920.50,4922.00,4911.00,4919.00,20518,20499,4921.23,4922.55,-1.33,-3.17,1.85,0.00,19.50,0.00,4931.25,4935.16,4961.89,41017.00,44568.43,1550501.00,182771.63,28.47,20.00,47.16,70.00,30.00,4938.98,4890.52,4914.75,13.50,4920.50
01/14/2022,08:10,4919.00,4927.00,4906.25,4907.00,24840,28210,4919.04,4921.40,-2.36,-3.01,0.65,0.00,3.75,0.00,4930.54,4934.84,4961.46,53050.00,47162.79,1497451.00,152092.12,26.66,20.00,39.95,70.00,30.00,4938.43,4889.77,4914.10,14.27,4919.00
01/14/2022,08:20,4907.00,4909.50,4900.00,4902.75,22126,24332,4916.53,4920.02,-3.49,-3.11,-0.38,0.00,-2.75,0.00,4929.79,4934.46,4961.02,46458.00,49126.21,1450993.00,131308.27,25.32,20.00,37.75,70.00,30.00,4938.49,4889.53,4914.01,14.43,4907.00
01/14/2022,08:30,4902.50,4914.00,4900.75,4907.50,19679,17881,4915.14,4919.09,-3.95,-3.28,-0.67,0.00,3.00,0.00,4929.13,4934.11,4960.59,37560.00,50817.00,1488553.00,145481.86,23.54,20.00,41.62,70.00,30.00,4938.48,4889.64,4914.06,14.64,4902.75
01/14/2022,08:40,4907.50,4917.50,4903.75,4915.25,21605,20417,4915.16,4918.81,-3.65,-3.35,-0.30,0.00,-5.50,0.00,4928.46,4933.85,4960.18,42022.00,52738.29,1530575.00,169166.99,22.31,20.00,47.37,70.00,30.00,4938.69,4890.19,4914.44,15.13,4907.50
01/14/2022,08:50,4915.25,4926.50,4913.50,4923.50,17421,16253,4916.44,4919.16,-2.71,-3.22,0.51,0.00,2.50,0.00,4927.94,4933.72,4959.82,33674.00,53799.86,1564249.00,190537.02,22.12,20.00,52.72,70.00,30.00,4939.59,4890.69,4915.14,15.61,4915.25
01/14/2022,09:00,4923.75,4926.25,4921.25,4922.25,13547,13292,4917.34,4919.38,-2.05,-2.99,0.94,0.00,-14.50,0.00,4927.42,4933.54,4959.44,26839.00,47839.21,1537410.00,182485.32,21.94,20.00,51.86,70.00,30.00,4940.06,4892.17,4916.11,14.23,4923.50
01/14/2022,09:10,4922.50,4924.50,4917.00,4922.50,12421,13319,4918.13,4919.62,-1.48,-2.69,1.20,0.00,-9.50,0.00,4927.03,4933.37,4959.08,25740.00,44122.71,1563150.00,182485.32,21.16,20.00,52.02,70.00,30.00,4939.89,4894.81,4917.35,13.59,4922.25
01/14/2022,09:20,4922.50,4926.00,4915.75,4917.75,8495,9517,4918.07,4919.48,-1.41,-2.43,1.03,0.00,-22.75,0.00,4926.58,4933.15,4958.70,18012.00,40870.07,1545138.00,174138.30,20.61,20.00,48.55,70.00,30.00,4939.26,4897.26,4918.26,12.95,4922.50
01/14/2022,09:30,4918.00,4918.25,4910.75,4916.00,10591,11017,4917.75,4919.22,-1.47,-2.24,0.77,0.00,-7.50,0.00,4926.03,4932.94,4958.32,21608.00,37938.86,1523530.00,168376.17,19.38,20.00,47.30,70.00,30.00,4938.78,4899.02,4918.90,12.21,4917.75
01/14/2022,09:40,4915.75,4922.00,4914.00,4917.50,10397,10255,4917.71,4919.09,-1.38,-2.07,0.69,0.00,-2.00,0.00,4925.43,4932.71,4957.95,20652.00,35957.79,1544182.00,172893.79,18.70,20.00,48.52,70.00,30.00,4938.43,4900.57,4919.50,11.63,4916.00
01/14/2022,09:50,4917.50,4917.50,4903.25,4905.25,12762,14770,4915.80,4918.07,-2.27,-2.11,-0.16,0.00,-15.25,0.00,4924.58,4932.35,4957.52,27532.00,34688.57,1516650.00,149225.93,17.99,20.00,40.28,70.00,30.00,4938.35,4900.72,4919.54,11.13,4917.50
01/14/2022,10:00,4905.25,4907.00,4898.00,4899.25,14141,15822,4913.25,4916.67,-3.42,-2.37,-1.05,0.00,-19.75,0.00,4923.53,4931.96,4957.05,29963.00,33347.79,1486687.00,129250.60,17.87,20.00,36.97,70.00,30.00,4939.23,4897.69,4918.46,10.93,4905.25
01/14/2022,10:10,4899.00,4904.50,4896.50,4898.75,13127,11916,4911.02,4915.35,-4.33,-2.76,-1.56,0.00,-8.25,0.00,4922.56,4931.59,4956.58,25043.00,32083.57,1461644.00,128468.00,17.90,20.00,36.70,70.00,30.00,4939.77,4894.93,4917.35,10.77,4899.25
01/14/2022,10:20,4898.75,4903.75,4895.00,4901.00,15835,17046,4909.48,4914.28,-4.80,-3.17,-1.63,0.00,-1.75,0.00,4921.63,4931.22,4956.12,32881.00,31502.43,1494525.00,136923.12,18.08,20.00,38.87,70.00,30.00,4937.20,4893.92,4915.56,10.61,4898.75
01/14/2022,10:30,4900.75,4901.00,4891.75,4897.25,15656,16363,4907.60,4913.02,-5.42,-3.62,-1.80,0.00,-10.25,0.00,4920.63,4930.85,4955.62,32019.00,30000.21,1462506.00,124807.82,18.57,20.00,36.61,70.00,30.00,4935.49,4892.16,4913.83,9.79,4901.00
01/14/2022,10:40,4897.25,4901.00,4892.50,4896.50,13601,13151,4905.89,4911.80,-5.91,-4.08,-1.83,0.00,-18.75,0.00,4919.68,4930.48,4955.10,26752.00,28592.64,1435754.00,122447.35,19.02,20.00,36.16,70.00,30.00,4930.80,4892.45,4911.63,9.71,4897.25
01/14/2022,10:50,4896.50,4905.25,4895.50,4902.75,13306,13531,4905.41,4911.13,-5.72,-4.41,-1.31,0.00,-20.75,0.00,4918.90,4930.18,4954.59,26837.00,27826.71,1462591.00,139650.56,18.74,20.00,42.52,70.00,30.00,4929.32,4891.86,4910.59,9.46,4896.50
01/14/2022,11:00,4902.75,4914.50,4902.00,4912.50,16735,15408,4906.50,4911.23,-4.73,-4.47,-0.26,0.00,-9.75,0.00,4918.29,4930.06,4954.14,32143.00,27121.07,1494734.00,164722.10,17.61,20.00,50.77,70.00,30.00,4928.54,4891.93,4910.24,9.38,4902.75
01/14/2022,11:10,4912.50,4919.25,4910.25,4912.75,15681,16769,4907.46,4911.34,-3.88,-4.35,0.47,0.00,-9.75,0.00,4917.63,4929.90,4953.69,32450.00,27033.64,1527184.00,165623.48,17.12,20.00,50.96,70.00,30.00,4927.59,4892.11,4909.85,9.09,4912.50
01/14/2022,11:20,4912.50,4916.75,4908.25,4913.50,12892,11720,4908.39,4911.50,-3.11,-4.11,0.99,0.00,-4.25,0.00,4917.01,4929.71,4953.25,24612.00,26874.57,1551796.00,168519.01,16.39,20.00,51.58,70.00,30.00,4926.91,4892.24,4909.58,9.34,4912.75
01/14/2022,11:30,4913.50,4919.00,4907.50,4908.00,10600,12950,4908.33,4911.24,-2.91,-3.87,0.95,0.00,-8.00,0.00,4916.25,4929.46,4952.79,23550.00,26718.14,1528246.00,157255.97,15.98,20.00,46.92,70.00,30.00,4926.93,4892.32,4909.63,9.63,4913.50
01/14/2022,11:40,4908.00,4924.25,4907.25,4920.50,17432,15540,4910.20,4911.93,-1.73,-3.44,1.71,0.00,3.00,0.00,4915.75,4929.31,4952.40,32972.00,27786.71,1561218.00,181500.09,16.18,20.00,56.53,70.00,30.00,4928.14,4892.89,4910.51,10.11,4908.00
01/14/2022,11:50,4920.50,4921.00,4913.50,4918.25,11543,11936,4911.44,4912.40,-0.96,-2.94,1.99,0.00,13.00,0.00,4915.23,4929.13,4951.99,23479.00,27920.36,1537739.00,174456.39,16.38,20.00,54.61,70.00,30.00,4928.93,4893.17,4911.05,10.11,4920.50
01/14/2022,12:00,4918.00,4923.00,4915.25,4915.25,11090,13072,4912.03,4912.61,-0.58,-2.47,1.89,0.00,16.00,0.00,4914.73,4928.93,4951.55,24162.00,28171.07,1513577.00,165882.78,16.78,20.00,52.08,70.00,30.00,4928.93,4893.17,4911.05,10.09,4918.25
01/14/2022,12:10,4915.50,4926.50,4915.50,4918.25,19164,19017,4912.98,4913.03,-0.04,-1.98,1.94,0.00,19.50,0.00,4914.27,4928.78,4951.14,38181.00,28931.71,1551758.00,175428.03,17.55,20.00,54.36,70.00,30.00,4928.07,4893.51,4910.79,9.88,4915.25
01/14/2022,12:20,4918.25,4932.00,4917.00,4929.75,16108,15336,4915.56,4914.26,1.30,-1.33,2.63,0.00,28.75,0.00,4914.11,4928.76,4950.78,31444.00,29037.50,1583202.00,199535.09,18.79,20.00,61.86,70.00,30.00,4929.70,4892.62,4911.16,10.30,4918.25
01/14/2022,12:30,4930.00,4935.50,4929.25,4930.00,13764,13444,4917.78,4915.43,2.35,-0.59,2.95,0.00,32.75,0.00,4914.15,4928.75,4950.41,27208.00,29192.14,1610410.00,199535.09,20.26,20.00,62.01,70.00,30.00,4931.25,4891.83,4911.54,10.18,4929.75
01/14/2022,12:40,4930.00,4938.50,4929.75,4936.25,16955,16203,4920.63,4916.97,3.65,0.26,3.40,0.00,39.75,0.00,4914.27,4928.79,4950.07,33158.00,29211.93,1643568.00,223219.38,21.88,20.00,65.56,70.00,30.00,4934.81,4890.11,4912.46,10.18,4930.00
01/14/2022,12:50,4936.25,4941.75,4931.75,4936.25,21782,21548,4923.03,4918.40,4.63,1.13,3.50,0.00,33.50,0.00,4914.46,4928.77,4949.72,43330.00,30019.86,1643568.00,223219.38,23.64,20.00,65.56,70.00,30.00,4938.09,4888.86,4913.48,10.23,4936.25
01/14/2022,13:00,4936.25,4944.25,4935.50,4939.50,49604,50032,4925.56,4919.96,5.60,2.03,3.57,0.00,27.00,0.00,4914.77,4928.79,4949.39,99636.00,35225.86,1743204.00,260227.04,25.46,20.00,67.40,70.00,30.00,4941.66,4887.49,4914.58,10.25,4936.25
01/14/2022,13:10,4939.75,4945.25,4939.25,4943.75,18619,19117,4928.36,4921.73,6.64,2.95,3.69,0.00,31.00,0.00,4915.25,4928.81,4949.08,37736.00,36004.36,1780940.00,285384.37,27.23,20.00,69.68,70.00,30.00,4946.02,4886.98,4916.50,9.98,4939.50
01/14/2022,13:20,4944.00,4947.00,4943.75,4946.50,4611,4000,4931.15,4923.56,7.59,3.88,3.72,0.00,33.00,0.00,4916.08,4928.88,4948.78,8611.00,34323.50,1789551.00,292008.21,29.01,20.00,71.09,70.00,30.00,4950.00,4887.72,4918.86,9.32,4943.75
01/14/2022,13:30,4946.75,4948.25,4945.75,4948.00,1797,1575,4933.74,4925.37,8.37,4.78,3.60,0.00,40.00,0.00,4916.92,4928.96,4948.48,3372.00,32246.50,1792923.00,293694.21,30.76,20.00,71.86,70.00,30.00,4953.48,4889.17,4921.33,8.86,4946.50
01/14/2022,13:40,4947.75,4948.50,4947.75,4948.25,1272,1774,4935.98,4927.07,8.91,5.60,3.31,0.00,27.75,0.00,4917.73,4929.04,4948.19,3046.00,30706.07,1795969.00,295724.88,32.40,20.00,71.99,70.00,30.00,4956.46,4890.91,4923.69,8.30,4948.00
01/14/2022,13:50,4948.00,4950.50,4948.00,4950.25,1820,1221,4938.17,4928.78,9.39,6.36,3.03,0.00,32.00,0.00,4918.54,4929.15,4947.93,3041.00,29241.14,1799010.00,298461.78,34.10,20.00,73.09,70.00,30.00,4958.70,4893.97,4926.34,7.66,4948.25
01/14/2022,14:00,4950.00,4950.50,4948.25,4949.75,1037,735,4939.95,4930.34,9.62,7.01,2.61,0.00,34.50,0.00,4919.48,4929.25,4947.65,1772.00,27012.57,1797238.00,298264.89,35.67,20.00,72.33,70.00,30.00,4959.83,4898.17,4929.00,6.61,4950.25
01/16/2022,15:10,4951.75,4957.50,4938.75,4942.50,3272,4469,4940.34,4931.24,9.11,7.43,1.68,0.00,24.25,0.00,4920.38,4929.27,4947.35,7741.00,25888.43,1789497.00,294446.00,34.72,20.00,62.17,70.00,30.00,4959.86,4902.12,4930.99,7.41,4949.75
01/16/2022,15:20,4942.75,4951.00,4942.75,4946.00,1785,1441,4941.21,4932.33,8.88,7.72,1.16,0.00,16.25,0.00,4921.31,4929.33,4947.07,3226.00,24393.00,1792723.00,295716.85,33.84,20.00,64.74,70.00,30.00,4960.93,4904.40,4932.66,7.46,4942.50
01/16/2022,15:30,4945.75,4948.50,4943.75,4946.50,869,778,4942.03,4933.38,8.65,7.91,0.74,0.00,16.50,0.00,4922.17,4929.38,4946.79,1647.00,21783.43,1794370.00,295976.90,33.02,20.00,65.11,70.00,30.00,4961.67,4907.03,4934.35,7.00,4946.00
01/16/2022,15:40,4946.50,4949.25,4944.75,4947.50,745,684,4942.87,4934.43,8.44,8.01,0.43,0.00,11.25,0.00,4923.01,4929.43,4946.50,1429.00,19639.50,1795799.00,296294.46,32.38,20.00,65.87,70.00,30.00,4962.18,4909.92,4936.05,6.25,4946.50
01/16/2022,15:50,4947.50,4949.00,4943.00,4944.00,928,1133,4943.04,4935.14,7.91,7.99,-0.08,0.00,7.75,0.00,4923.80,4929.45,4946.20,2061.00,17843.29,1793738.00,295092.21,31.34,20.00,60.86,70.00,30.00,4960.76,4914.94,4937.85,6.23,4947.50
01/16/2022,16:00,4944.00,4947.50,4942.00,4942.25,622,755,4942.92,4935.66,7.26,7.85,-0.59,0.00,2.75,0.00,4924.23,4929.41,4945.88,1377.00,15573.21,1792361.00,294654.07,30.13,20.00,58.47,70.00,30.00,4960.48,4917.40,4938.94,6.00,4944.00
01/16/2022,16:10,4942.25,4945.00,4938.00,4943.75,1634,1611,4943.05,4936.26,6.79,7.63,-0.85,0.00,0.00,0.00,4924.69,4929.39,4945.56,3245.00,12710.00,1795606.00,295349.43,28.08,20.00,59.92,70.00,30.00,4959.62,4920.81,4940.21,5.79,4942.25
01/16/2022,16:20,4943.75,4945.00,4937.25,4940.00,1076,1400,4942.58,4936.54,6.04,7.32,-1.27,0.00,-6.50,0.00,4924.75,4929.31,4945.23,2476.00,5770.00,1793130.00,294151.36,26.13,20.00,54.76,70.00,30.00,4957.13,4925.77,4941.45,5.71,4943.75
01/16/2022,16:30,4939.75,4939.75,4933.75,4936.25,1035,1201,4941.61,4936.52,5.09,6.87,-1.78,0.00,-11.75,0.00,4924.83,4929.19,4944.89,2236.00,3234.29,1790894.00,292847.03,25.05,20.00,50.10,70.00,30.00,4954.19,4930.51,4942.35,5.73,4940.00
01/16/2022,16:40,4936.00,4939.25,4933.25,4933.50,752,834,4940.36,4936.29,4.07,6.31,-2.24,0.00,-14.75,0.00,4924.69,4929.05,4944.53,1586.00,2732.50,1789308.00,292186.20,24.14,20.00,46.96,70.00,30.00,4953.68,4931.40,4942.54,5.93,4936.25
01/16/2022,16:50,4933.75,4938.00,4933.50,4936.00,737,607,4939.69,4936.27,3.42,5.73,-2.31,0.00,-14.25,0.00,4924.94,4928.94,4944.18,1344.00,2587.64,1790652.00,292858.20,23.29,20.00,50.03,70.00,30.00,4952.88,4932.80,4942.84,6.07,4933.50
01/16/2022,17:00,4935.75,4940.00,4935.75,4936.50,694,532,4939.20,4936.29,2.91,5.17,-2.26,0.00,-13.25,0.00,4925.29,4928.79,4943.81,1226.00,2457.64,1791878.00,293074.55,21.97,20.00,50.65,70.00,30.00,4952.86,4932.84,4942.85,6.32,4936.00
01/16/2022,17:10,4936.25,4936.75,4932.25,4933.50,623,1024,4938.32,4936.08,2.24,4.58,-2.34,0.00,-9.00,0.00,4925.54,4928.63,4943.42,1647.00,2358.07,1790231.00,292068.05,21.50,20.00,46.91,70.00,30.00,4953.15,4932.28,4942.71,6.46,4936.50
01/16/2022,17:20,4933.50,4934.50,4931.00,4932.75,443,585,4937.46,4935.84,1.63,3.99,-2.36,0.00,-13.25,0.00,4925.82,4928.53,4943.02,1028.00,2304.93,1789203.00,291847.76,21.32,20.00,45.99,70.00,30.00,4953.61,4931.14,4942.38,6.55,4933.50
01/16/2022,17:30,4932.75,4935.25,4932.00,4934.25,524,475,4936.97,4935.72,1.25,3.44,-2.19,0.00,-12.25,0.00,4926.37,4928.45,4942.61,999.00,1823.36,1790202.00,292308.84,20.92,20.00,48.17,70.00,30.00,4953.65,4930.15,4941.90,5.45,4932.75
01/16/2022,17:40,4934.25,4936.00,4929.00,4929.75,912,1585,4935.86,4935.28,0.58,2.87,-2.29,0.00,-17.75,0.00,4926.90,4928.35,4942.19,2497.00,1771.29,1787705.00,290703.63,21.16,20.00,42.62,70.00,30.00,4953.74,4928.39,4941.06,5.34,4934.25
01/16/2022,17:50,4929.50,4930.75,4927.50,4930.50,1242,1191,4935.03,4934.92,0.11,2.32,-2.21,0.00,-13.50,0.00,4927.37,4928.25,4941.77,2433.00,1827.43,1790138.00,291452.24,21.66,20.00,43.79,70.00,30.00,4953.23,4927.14,4940.19,5.23,4929.75
01/16/2022,18:00,4930.50,4933.50,4930.25,4932.50,809,407,4934.64,4934.74,-0.10,1.84,-1.93,0.00,-9.75,0.00,4927.71,4928.08,4941.34,1216.00,1812.21,1791354.00,292200.55,21.28,20.00,46.87,70.00,30.00,4952.31,4926.49,4939.40,5.14,4930.50
01/16/2022,18:10,4932.75,4933.50,4930.00,4930.00,520,653,4933.93,4934.39,-0.46,1.38,-1.84,0.00,-13.75,0.00,4927.84,4927.89,4940.90,1173.00,1748.79,1790181.00,291278.91,20.98,20.00,43.65,70.00,30.00,4950.90,4925.87,4938.39,4.96,4932.50
01/16/2022,18:20,4930.25,4931.50,4928.00,4929.75,576,655,4933.29,4934.05,-0.76,0.95,-1.71,0.00,-10.25,0.00,4927.99,4927.70,4940.47,1231.00,1738.36,1788950.00,291103.05,21.13,20.00,43.32,70.00,30.00,4949.29,4925.48,4937.39,4.82,4930.00
